symbol baseMean log2FoldChange lfcSE stat pvalue padj gene
1 RPS4Y1 10677.5174354745 -8.77194777453158 0.142430495964972 -61.587567431408 0 0 ENSG00000129824.16
2 ENSG00000289575 731.969281177987 3.69973379653013 0.124875953584239 29.6272716270739 6.65712872930512e-193 6.4034921247186e-189 ENSG00000289575.1
3 PNPO 604.613472064072 -4.15522528417358 0.141057736283846 -29.4576206427427 1.00558313379002e-190 6.44846944261748e-187 ENSG00000108439.11
4 PCDHGA10 497.028934550168 4.4825524994386 0.200003814611751 22.4123350254102 2.98374990441282e-111 1.43503451652735e-107 ENSG00000253846.3
5 YPEL3-DT 525.009021826186 -2.41849737287296 0.115560532636692 -20.9284027832965 2.95223847734208e-97 1.13590327654214e-93 ENSG00000250616.4
6 LINC02506 1301.5361280868 -1.71308567034725 0.0988349556024406 -17.3327914188384 2.66093927837218e-67 8.53185830622067e-64 ENSG00000251129.3
7 SLC2A14 634.302675501787 4.68720840201414 0.278112737859829 16.853627194798 9.86727553060642e-64 2.71180923796866e-60 ENSG00000173262.12
8 ENSG00000286339 907.089856609004 -1.71471158438059 0.11506452813217 -14.9021736951893 3.19029185010238e-50 7.6718543265337e-47 ENSG00000286339.1
9 ENSG00000289456 383.59077125289 -2.13218513999641 0.144633394800724 -14.7419974683865 3.46385984745155e-49 7.40419286058588e-46 ENSG00000289456.1
10 ENSG00000282914 121.191888126491 3.76060456757707 0.264477368311228 14.2190032802796 6.98405773300758e-46 1.343593026676e-42 ENSG00000282914.1
